epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3988.19,0.70054,0.64294,1.14569,0.88214,0.8222,0.88325,0.67562,0.7518,0.5916,1.0988,0.000447796,0.000447796,0.000447796
43,4079.68,0.69567,0.64498,1.13934,0.82583,0.84263,0.87732,0.68344,0.72619,0.61517,1.08986,0.000436547,0.000436547,0.000436547
44,4171.09,0.68614,0.63306,1.13422,0.83934,0.82231,0.88131,0.68096,0.71709,0.59698,1.0736,0.000425298,0.000425298,0.000425298
45,4261.58,0.68821,0.63126,1.1352,0.83074,0.8323,0.87252,0.67374,0.7343,0.59315,1.10403,0.000414049,0.000414049,0.000414049
46,4354.93,0.68238,0.61577,1.13249,0.82696,0.84023,0.8892,0.69357,0.71685,0.58922,1.08095,0.000402801,0.000402801,0.000402801
47,4445.96,0.67835,0.61715,1.12611,0.86884,0.79927,0.87566,0.68245,0.71,0.59693,1.07445,0.000391552,0.000391552,0.000391552
48,4536.7,0.66943,0.60465,1.12339,0.87751,0.83489,0.8962,0.69012,0.72413,0.58313,1.08736,0.000380303,0.000380303,0.000380303
49,4628.01,0.66509,0.58964,1.11546,0.81965,0.83817,0.86794,0.67407,0.71639,0.60679,1.08995,0.000369054,0.000369054,0.000369054
50,4719.05,0.66798,0.59424,1.12154,0.82734,0.85055,0.88516,0.69421,0.69817,0.59355,1.07806,0.000357805,0.000357805,0.000357805
51,4810.87,0.6645,0.59242,1.11861,0.88785,0.82174,0.89639,0.70358,0.69056,0.58106,1.06467,0.000346556,0.000346556,0.000346556
52,4900.47,0.66331,0.58588,1.11592,0.88723,0.82809,0.89068,0.69153,0.72228,0.60106,1.09256,0.000335307,0.000335307,0.000335307
53,4991.11,0.65413,0.58171,1.10999,0.85467,0.8151,0.87659,0.68457,0.70371,0.58361,1.06109,0.000324058,0.000324058,0.000324058
54,5081.84,0.65491,0.57481,1.11264,0.84558,0.83541,0.88322,0.68547,0.70429,0.6021,1.07833,0.00031281,0.00031281,0.00031281
55,5173,0.65176,0.57198,1.11215,0.84832,0.85269,0.88573,0.693,0.70372,0.58755,1.07442,0.000301561,0.000301561,0.000301561
56,5265.82,0.65129,0.56706,1.10591,0.86512,0.83929,0.89535,0.70973,0.68148,0.57008,1.06209,0.000290312,0.000290312,0.000290312
57,5357.59,0.63876,0.55388,1.09879,0.83913,0.86326,0.8968,0.70123,0.70277,0.57944,1.07343,0.000279063,0.000279063,0.000279063
58,5450.51,0.63827,0.55044,1.09818,0.86402,0.83781,0.88722,0.69821,0.70843,0.57919,1.07172,0.000267814,0.000267814,0.000267814
59,5544.81,0.63966,0.55325,1.09948,0.86535,0.84877,0.89938,0.71021,0.69023,0.55798,1.06314,0.000256565,0.000256565,0.000256565
60,5637.72,0.63544,0.54681,1.09543,0.83429,0.86262,0.89381,0.709,0.68323,0.56303,1.05363,0.000245316,0.000245316,0.000245316
61,5729.63,0.63337,0.54161,1.09195,0.86657,0.83146,0.89156,0.70433,0.69758,0.55937,1.07075,0.000234068,0.000234068,0.000234068
62,5821.8,0.62909,0.53317,1.09117,0.90244,0.81532,0.8769,0.69139,0.69079,0.57769,1.06799,0.000222819,0.000222819,0.000222819
63,5914.85,0.6287,0.53365,1.0878,0.8922,0.8451,0.89562,0.7075,0.68957,0.54318,1.06268,0.00021157,0.00021157,0.00021157
64,6007.77,0.62574,0.53214,1.08812,0.88164,0.85602,0.89981,0.70583,0.69793,0.56306,1.06485,0.000200321,0.000200321,0.000200321
65,6101.03,0.61762,0.52042,1.08634,0.84772,0.86767,0.89057,0.70732,0.68359,0.56533,1.05682,0.000189072,0.000189072,0.000189072
66,6194.82,0.61347,0.51637,1.08423,0.88349,0.85034,0.89866,0.7109,0.67886,0.56198,1.04779,0.000177823,0.000177823,0.000177823
67,6288.3,0.61684,0.52038,1.08599,0.87285,0.85231,0.89259,0.70613,0.68292,0.56729,1.05614,0.000166574,0.000166574,0.000166574
68,6380.78,0.61123,0.51393,1.08005,0.88727,0.82572,0.88771,0.704,0.68689,0.56338,1.06002,0.000155325,0.000155325,0.000155325
69,6473.81,0.60509,0.50693,1.07746,0.89584,0.83247,0.89066,0.70454,0.68194,0.55937,1.05546,0.000144077,0.000144077,0.000144077
70,6568.46,0.61028,0.51468,1.08286,0.90198,0.83864,0.89632,0.70665,0.68357,0.55921,1.06286,0.000132828,0.000132828,0.000132828
71,6660.14,0.53394,0.39874,1.02749,0.88569,0.86338,0.89855,0.71478,0.67191,0.55456,1.05441,0.000121579,0.000121579,0.000121579
72,6747.94,0.52044,0.37637,1.01874,0.90125,0.844,0.89189,0.70397,0.67326,0.562,1.05741,0.00011033,0.00011033,0.00011033
73,6838.17,0.51499,0.36915,1.01761,0.85539,0.87639,0.89473,0.7115,0.67089,0.55825,1.04951,9.9081e-05,9.9081e-05,9.9081e-05
74,6929.38,0.5096,0.36147,1.01097,0.87258,0.86081,0.9019,0.71346,0.66434,0.54475,1.05036,8.78321e-05,8.78321e-05,8.78321e-05
75,7019.38,0.50291,0.3531,1.00971,0.88645,0.85797,0.89506,0.71026,0.66989,0.5508,1.05841,7.65832e-05,7.65832e-05,7.65832e-05
76,7109.74,0.49239,0.34575,0.99921,0.88789,0.85473,0.89407,0.71217,0.66459,0.55013,1.05485,6.53344e-05,6.53344e-05,6.53344e-05
77,7199.79,0.48942,0.34232,0.99731,0.87731,0.84931,0.89211,0.71164,0.66627,0.54781,1.05605,5.40855e-05,5.40855e-05,5.40855e-05
78,7289.7,0.49707,0.3422,1.00407,0.88213,0.84289,0.89127,0.71426,0.66621,0.55815,1.05389,4.28366e-05,4.28366e-05,4.28366e-05
79,7380.49,0.48931,0.33932,0.99259,0.90795,0.82984,0.89546,0.71518,0.66731,0.55626,1.05316,3.15878e-05,3.15878e-05,3.15878e-05
80,7471.37,0.48247,0.33167,0.99101,0.87435,0.85837,0.89508,0.71436,0.66249,0.55199,1.05103,2.03389e-05,2.03389e-05,2.03389e-05
